Clients  Cassandra  HA(MW+WFR)  Causal  Strong
128      4.242      3.14        3.04    0.2
256      7.524      5.757       5.408   0.23
384      9.334      7.396       6.992   0.27
512      10.877     8.474       7.954   0.35
640      11.648     8.432       7.91    0.31
768      11.432     8.312       7.699   0.31
896      11.232     7.963       7.182   0.26
1024     11.245     7.598       6.667   0.24
